Minus-X_Array,,
,,
Time (UTCG),Power (W),Solar Intensity
30:00.0,6.619,1
31:00.0,6.904,1
32:00.0,7.141,1
33:00.0,7.324,1
34:00.0,7.415,1
35:00.0,7.415,1
36:00.0,7.422,1
37:00.0,7.423,1
38:00.0,7.423,1
39:00.0,7.422,1
40:00.0,7.422,1
41:00.0,7.423,1
42:00.0,7.425,1
43:00.0,7.426,1
44:00.0,7.422,1
45:00.0,7.423,1
46:00.0,7.419,1
47:00.0,7.424,1
48:00.0,7.42,1
49:00.0,7.424,1
50:00.0,7.423,1
51:00.0,7.423,1
52:00.0,7.423,1
53:00.0,7.425,1
54:00.0,7.423,1
55:00.0,7.421,1
56:00.0,7.424,1
57:00.0,7.421,1
58:00.0,7.334,1
59:00.0,7.153,1
00:00.0,6.904,1
01:00.0,6.573,1
02:00.0,6.28,1
03:00.0,6.064,1
04:00.0,5.887,1
05:00.0,5.749,1
06:00.0,5.606,1
07:00.0,5.513,1
08:00.0,5.446,1
09:00.0,5.411,1
10:00.0,5.41,1
11:00.0,5.426,1
12:00.0,5.473,1
13:00.0,5.552,1
14:00.0,5.658,1
15:00.0,5.798,1
16:00.0,5.973,1
17:00.0,6.147,1
18:00.0,6.408,1
19:00.0,6.725,1
20:00.0,7.029,1
21:00.0,7.25,1
22:00.0,7.392,1
23:00.0,7.422,1
24:00.0,7.422,1
25:00.0,7.424,1
26:00.0,7.423,1
27:00.0,7.425,1
28:00.0,7.424,1
29:00.0,7.425,1
30:00.0,7.422,1
31:00.0,7.424,1
32:00.0,7.424,1
33:00.0,7.424,1
34:00.0,7.43,1
35:00.0,7.423,1
36:00.0,7.424,1
37:00.0,7.425,1
38:00.0,7.424,1
39:00.0,7.422,1
40:00.0,7.424,1
41:00.0,7.422,1
42:00.0,7.42,1
43:00.0,7.421,1
44:00.0,7.423,1
45:00.0,7.422,1
46:00.0,7.378,1
47:00.0,7.247,1
48:00.0,7.039,1
49:00.0,6.77,1
50:00.0,6.5,1
51:00.0,6.279,1
52:00.0,6.132,1
53:00.0,6.001,1
54:00.0,5.885,1
55:00.0,5.806,1
56:00.0,5.758,1
57:00.0,5.731,1
58:00.0,5.751,1
59:00.0,5.79,1
00:00.0,5.861,1
01:00.0,5.967,1
02:00.0,6.102,1
03:00.0,6.231,1
04:00.0,6.435,1
05:00.0,6.691,1
06:00.0,6.982,1
07:00.0,7.195,1
08:00.0,7.355,1
09:00.0,7.416,1
10:00.0,7.425,1
11:00.0,7.419,1
12:00.0,7.426,1
13:00.0,7.421,1
14:00.0,7.422,1
15:00.0,7.426,1
16:00.0,7.424,1
17:00.0,7.423,1
18:00.0,7.421,1
19:00.0,7.422,1
20:00.0,7.423,1
21:00.0,7.419,1
22:00.0,7.422,1
23:00.0,7.421,1
24:00.0,7.422,1
25:00.0,7.424,1
26:00.0,7.425,1
27:00.0,7.419,1
28:00.0,7.423,1
29:00.0,7.423,1
30:00.0,7.422,1
31:00.0,7.422,1
32:00.0,7.411,1
33:00.0,7.295,1
34:00.0,7.095,1
35:00.0,6.818,1
36:00.0,6.487,1
37:00.0,6.214,1
38:00.0,6.019,1
39:00.0,5.841,1
40:00.0,5.698,1
41:00.0,5.575,1
42:00.0,5.493,1
43:00.0,5.435,1
44:00.0,5.412,1
45:00.0,5.414,1
46:00.0,5.434,1
47:00.0,5.49,1
48:00.0,5.576,1
49:00.0,5.69,1
50:00.0,5.84,1
51:00.0,6.016,1
52:00.0,6.209,1
53:00.0,6.481,1
54:00.0,6.813,1
55:00.0,7.093,1
56:00.0,7.295,1
57:00.0,7.409,1
58:00.0,7.426,1
59:00.0,7.423,1
00:00.0,7.42,1
01:00.0,7.422,1
02:00.0,7.421,1
03:00.0,7.421,1
04:00.0,7.421,1
05:00.0,7.423,1
06:00.0,7.423,1
07:00.0,7.421,1
08:00.0,7.414,1
09:00.0,7.421,1
10:00.0,7.421,1
11:00.0,7.422,1
12:00.0,7.424,1
13:00.0,7.419,1
14:00.0,7.421,1
15:00.0,7.422,1
16:00.0,7.424,1
17:00.0,7.421,1
18:00.0,7.42,1
19:00.0,7.426,1
20:00.0,7.419,1
21:00.0,7.355,1
22:00.0,7.196,1
23:00.0,6.978,1
24:00.0,6.695,1
25:00.0,6.439,1
26:00.0,6.232,1
27:00.0,6.098,1
28:00.0,5.967,1
29:00.0,5.864,1
30:00.0,5.793,1
31:00.0,5.751,1
32:00.0,5.737,1
33:00.0,5.756,1
34:00.0,5.806,1
35:00.0,5.891,1
36:00.0,6.002,1
37:00.0,6.14,1
38:00.0,6.278,1
