"Number","Coverage Start (UTCG)","Coverage End (UTCG)","Duration (sec)","Percent"
175,12 Jan 2025 16:03:44.089,12 Jan 2025 16:06:32.899,168.810,0.000535
176,12 Jan 2025 17:38:17.914,12 Jan 2025 17:41:11.808,173.894,0.000551
177,12 Jan 2025 19:13:05.371,12 Jan 2025 19:16:04.022,178.652,0.000567
178,12 Jan 2025 20:47:52.949,12 Jan 2025 20:50:48.189,175.240,0.000556
179,12 Jan 2025 22:22:40.645,12 Jan 2025 22:25:36.185,175.540,0.000557
180,12 Jan 2025 23:57:24.659,13 Jan 2025 00:00:13.213,168.554,0.000534
181,13 Jan 2025 00:00:18.473,13 Jan 2025 00:00:24.063,5.590,0.000018
182,13 Jan 2025 01:32:04.568,13 Jan 2025 01:34:53.594,169.026,0.000536
183,13 Jan 2025 03:06:45.958,13 Jan 2025 03:09:44.379,178.421,0.000566
184,13 Jan 2025 04:41:33.484,13 Jan 2025 04:44:28.517,175.034,0.000555
185,13 Jan 2025 06:16:21.129,13 Jan 2025 06:19:16.568,175.439,0.000556
186,13 Jan 2025 07:51:05.273,13 Jan 2025 07:54:04.500,179.228,0.000568
187,13 Jan 2025 09:25:44.990,13 Jan 2025 09:28:46.524,181.534,0.000576
188,13 Jan 2025 11:00:26.567,13 Jan 2025 11:03:24.708,178.141,0.000565
189,13 Jan 2025 12:35:14.041,13 Jan 2025 12:38:08.827,174.786,0.000554
190,13 Jan 2025 14:10:01.635,13 Jan 2025 14:12:56.930,175.295,0.000556
191,13 Jan 2025 15:44:45.931,13 Jan 2025 15:47:44.910,178.979,0.000568
192,13 Jan 2025 17:19:25.471,13 Jan 2025 17:22:26.941,181.470,0.000575
193,13 Jan 2025 18:54:07.200,13 Jan 2025 18:57:05.011,177.811,0.000564
194,13 Jan 2025 20:28:54.621,13 Jan 2025 20:31:49.104,174.483,0.000553
195,13 Jan 2025 22:03:42.163,13 Jan 2025 22:06:37.266,175.103,0.000555
196,13 Jan 2025 23:38:27.477,13 Jan 2025 23:41:25.303,177.826,0.000564
197,14 Jan 2025 01:13:17.604,14 Jan 2025 01:16:13.216,175.611,0.000557
198,14 Jan 2025 02:47:57.248,14 Jan 2025 02:50:45.293,168.045,0.000533
199,14 Jan 2025 04:22:35.223,14 Jan 2025 04:25:38.387,183.163,0.000581
200,14 Jan 2025 05:57:22.713,14 Jan 2025 06:00:17.580,174.867,0.000555
201,14 Jan 2025 07:32:07.826,14 Jan 2025 07:35:05.669,177.842,0.000564
202,14 Jan 2025 09:06:58.052,14 Jan 2025 09:09:53.634,175.582,0.000557
203,14 Jan 2025 10:41:45.899,14 Jan 2025 10:44:25.550,159.651,0.000506
204,14 Jan 2025 12:16:15.849,14 Jan 2025 12:19:18.787,182.939,0.000580
205,14 Jan 2025 13:51:03.286,14 Jan 2025 13:53:57.873,174.587,0.000554
206,14 Jan 2025 15:25:48.251,14 Jan 2025 15:28:49.825,181.574,0.000576
207,14 Jan 2025 17:00:38.522,14 Jan 2025 17:03:34.031,175.509,0.000557
208,14 Jan 2025 18:35:26.318,14 Jan 2025 18:38:05.786,159.468,0.000506
209,14 Jan 2025 18:38:11.696,14 Jan 2025 18:38:21.930,10.234,0.000032
210,14 Jan 2025 20:10:10.160,14 Jan 2025 20:12:59.153,168.994,0.000536
211,14 Jan 2025 21:44:43.881,14 Jan 2025 21:47:38.133,174.251,0.000553
212,14 Jan 2025 23:19:28.735,14 Jan 2025 23:22:30.241,181.506,0.000576
213,15 Jan 2025 00:54:19.014,15 Jan 2025 00:57:14.406,175.392,0.000556
214,15 Jan 2025 02:29:06.759,15 Jan 2025 02:32:02.354,175.595,0.000557
215,15 Jan 2025 04:03:50.695,15 Jan 2025 04:06:39.496,168.802,0.000535
216,15 Jan 2025 05:38:24.500,15 Jan 2025 05:41:18.371,173.872,0.000551
217,15 Jan 2025 07:13:09.270,15 Jan 2025 07:13:09.800,0.531,0.000002
218,15 Jan 2025 07:13:11.953,15 Jan 2025 07:16:10.622,178.669,0.000567
219,15 Jan 2025 08:47:59.528,15 Jan 2025 08:50:54.758,175.230,0.000556
