                                                                                                                                                                                                     25 Apr 2023 14:23:33
CoverageDefinition-NorthCusp



Spliced coverage by Pass for Region: 1
--------------------------------------

Access       Access Start (UTCG)          Access End (UTCG)       Duration (sec)     Asset Name    Asset Full Name    Region Name    % Coverage    Area Coverage (km^2)    % Accum Coverage    Accum Area Coverage (km^2)
    76    18 Jan 2025 10:58:49.798    18 Jan 2025 11:15:40.317          1010.519    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
    77    18 Jan 2025 12:33:32.860    18 Jan 2025 12:50:13.939          1001.079    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
    78    19 Jan 2025 07:31:16.518    19 Jan 2025 07:46:11.214           894.696    Satellite12    Satellite12        1               31.872940          1407809.249121          100.000000                4416941.971327
    79    19 Jan 2025 09:05:41.561    19 Jan 2025 09:22:01.841           980.281    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
    80    19 Jan 2025 10:39:54.004    19 Jan 2025 10:56:46.743          1012.739    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    81    19 Jan 2025 12:14:37.047    19 Jan 2025 12:31:28.553          1011.506    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
    82    19 Jan 2025 13:49:20.076    19 Jan 2025 13:59:22.203           602.127    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
    83    20 Jan 2025 07:12:24.527    20 Jan 2025 07:26:37.416           852.888    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
    84    20 Jan 2025 08:46:52.238    20 Jan 2025 09:03:08.222           975.984    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
    85    20 Jan 2025 10:21:07.156    20 Jan 2025 10:37:52.891          1005.735    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    86    20 Jan 2025 11:55:41.212    20 Jan 2025 12:12:37.368          1016.155    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
    87    20 Jan 2025 13:30:24.222    20 Jan 2025 13:46:11.128           946.906    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
    88    21 Jan 2025 06:57:00.243    21 Jan 2025 07:06:49.159           588.916    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
    89    21 Jan 2025 08:28:02.414    21 Jan 2025 08:44:08.585           966.171    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
    90    21 Jan 2025 10:02:19.812    21 Jan 2025 10:18:58.766           998.954    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    91    21 Jan 2025 11:36:45.355    21 Jan 2025 11:53:43.022          1017.666    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
    92    21 Jan 2025 13:11:28.347    21 Jan 2025 13:27:41.545           973.198    Satellite12    Satellite12        1               28.355797          1252459.113283          100.000000                4416941.971327
    93    22 Jan 2025 08:09:12.079    22 Jan 2025 08:25:02.068           949.988    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
    94    22 Jan 2025 09:43:31.973    22 Jan 2025 10:00:04.373           992.400    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
    95    22 Jan 2025 11:17:49.477    22 Jan 2025 11:34:48.406          1018.929    Satellite12    Satellite12        1               82.528246          3645224.728821          100.000000                4416941.971327
    96    22 Jan 2025 12:52:41.884    22 Jan 2025 13:09:06.952           985.068    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    97    23 Jan 2025 07:50:21.219    23 Jan 2025 08:05:47.899           926.680    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    98    23 Jan 2025 09:24:43.643    23 Jan 2025 09:41:09.715           986.072    Satellite12    Satellite12        1               81.232503          3587992.510272          100.000000                4416941.971327
    99    23 Jan 2025 10:59:03.030    23 Jan 2025 11:15:53.681          1010.650    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
