Time (UTCG),Lat (deg),Lon (deg),Alt (km),Lat Rate (deg/sec),Lon Rate (deg/sec),Alt Rate (km/sec)
32:00.0,72.602,-34.066,598.322039,0.060402,-0.051302,0.012948
33:00.0,76.2,-37.86,599.02191,0.059432,-0.078197,0.010348
34:00.0,79.712,-44.048,599.560351,0.057322,-0.136168,0.007575
35:00.0,83.008,-55.988,599.928309,0.051422,-0.288213,0.004673
36:00.0,85.579,-84.23,600.1196,0.029296,-0.712376,0.001694
37:00.0,85.78,-135.42,600.131009,-0.023807,-0.781623,-0.001314
38:00.0,83.392,-167.02,599.962344,-0.050015,-0.322089,-0.0043
39:00.0,80.145,179.804,599.61644,-0.056887,-0.147894,-0.007214
40:00.0,76.65,173.152,599.09911,-0.059252,-0.083171,-0.010006
41:00.0,73.059,169.145,598.419052,-0.060311,-0.053801,-0.01263
42:00.0,69.422,166.426,597.58771,-0.06088,-0.038298,-0.015042
43:00.0,65.758,164.423,596.619087,-0.061229,-0.029195,-0.0172
44:00.0,62.077,162.857,595.529514,-0.061466,-0.023422,-0.019068
45:00.0,58.384,161.575,594.337388,-0.061641,-0.019544,-0.020614
46:00.0,54.681,160.489,593.062864,-0.06178,-0.016822,-0.021811
47:00.0,50.97,159.542,591.727524,-0.061895,-0.014843,-0.022638
48:00.0,47.254,158.698,590.354016,-0.061995,-0.013365,-0.023081
49:00.0,43.531,157.931,588.965675,-0.062083,-0.012237,-0.023131
50:00.0,39.804,157.224,587.586129,-0.062162,-0.011361,-0.022788
51:00.0,36.072,156.564,586.238895,-0.062234,-0.010672,-0.022056
52:00.0,32.336,155.941,584.946981,-0.062299,-0.010125,-0.020947
53:00.0,28.596,155.347,583.732484,-0.062358,-0.009689,-0.019479
54:00.0,24.853,154.776,582.616212,-0.06241,-0.009342,-0.017677
55:00.0,21.107,154.224,581.617316,-0.062456,-0.009066,-0.015572
56:00.0,17.358,153.687,580.752957,-0.062495,-0.00885,-0.013199
57:00.0,13.608,153.161,580.038003,-0.062526,-0.008685,-0.010599
58:00.0,9.855,152.644,579.484761,-0.06255,-0.008566,-0.007816
59:00.0,6.102,152.133,579.102766,-0.062567,-0.008487,-0.004899
00:00.0,2.348,151.625,578.898602,-0.062576,-0.008446,-0.001897
01:00.0,-1.407,151.118,578.875792,-0.062577,-0.008441,0.001138
02:00.0,-5.161,150.611,579.034728,-0.06257,-0.008473,0.004153
03:00.0,-8.915,150.101,579.37267,-0.062555,-0.008542,0.007096
04:00.0,-12.668,149.585,579.883789,-0.062533,-0.008651,0.009917
05:00.0,-16.419,149.062,580.559279,-0.062503,-0.008804,0.012567
06:00.0,-20.168,148.528,581.387506,-0.062466,-0.009007,0.015001
07:00.0,-23.915,147.98,582.354221,-0.062422,-0.009266,0.017177
08:00.0,-27.659,147.414,583.442811,-0.062372,-0.009595,0.019058
09:00.0,-31.399,146.827,584.634594,-0.062315,-0.010007,0.020612
10:00.0,-35.136,146.212,585.909143,-0.062251,-0.010523,0.021813
11:00.0,-38.869,145.561,587.244648,-0.062181,-0.011173,0.022641
12:00.0,-42.598,144.867,588.618294,-0.062104,-0.011997,0.023082
13:00.0,-46.322,144.117,590.006652,-0.062018,-0.013054,0.023131
14:00.0,-50.04,143.294,591.386085,-0.061921,-0.014433,0.022785
15:00.0,-53.752,142.376,592.733148,-0.061811,-0.016268,0.022053
16:00.0,-57.457,141.329,594.024983,-0.061679,-0.018774,0.020947
17:00.0,-61.153,140.103,595.239707,-0.061514,-0.02231,0.019487
18:00.0,-64.837,138.619,596.356774,-0.061296,-0.02751,0.017697
19:00.0,-68.506,136.745,597.35732,-0.060982,-0.03558,0.015608
20:00.0,-72.152,134.244,598.224466,-0.060485,-0.04903,0.013256
21:00.0,-75.757,130.642,598.943605,-0.059592,-0.073754,0.010681
22:00.0,-79.283,124.864,599.502631,-0.057698,-0.125943,0.007927
23:00.0,-82.62,113.984,599.892145,-0.052593,-0.259323,0.005039
24:00.0,-85.343,88.751,600.105599,-0.033941,-0.642592,0.002066
25:00.0,-85.935,38.568,600.139406,0.017691,-0.841914,-0.000941
26:00.0,-83.759,3.454,599.992999,0.048377,-0.360351,-0.003932
27:00.0,-80.567,-11.111,599.668838,0.056402,-0.160901,-0.006858
28:00.0,-77.091,-18.273,599.172369,0.059058,-0.088551,-0.009668
29:00.0,-73.508,-22.509,598.511941,0.060215,-0.056456,-0.012315
30:00.0,-69.875,-25.347,597.698665,0.060824,-0.039782,-0.014756
31:00.0,-66.214,-27.42,596.746238,0.061193,-0.030103,-0.016947
32:00.0,-62.535,-29.03,595.670716,0.06144,-0.024015,-0.018853
33:00.0,-58.842,-30.342,594.490256,0.061622,-0.019952,-0.02044
34:00.0,-55.141,-31.449,593.224812,0.061764,-0.017113,-0.021682
35:00.0,-51.431,-32.411,591.895807,0.061882,-0.015058,-0.022556
36:00.0,-47.715,-33.266,590.525778,0.061983,-0.013527,-0.023047
37:00.0,-43.994,-34.041,589.137996,0.062073,-0.012362,-0.023147
38:00.0,-40.267,-34.755,587.756074,0.062153,-0.011458,-0.022852
39:00.0,-36.535,-35.42,586.403564,0.062226,-0.010749,-0.022167
40:00.0,-32.8,-36.048,585.10356,0.062292,-0.010187,-0.021104
41:00.0,-29.06,-36.645,583.878294,0.062351,-0.009738,-0.01968
42:00.0,-25.318,-37.218,582.748752,0.062404,-0.009381,-0.017918
43:00.0,-21.572,-37.772,581.734312,0.062451,-0.009097,-0.015848
44:00.0,-17.824,-38.311,580.852397,0.06249,-0.008874,-0.013507
45:00.0,-14.073,-38.838,580.118176,0.062523,-0.008703,-0.010932
46:00.0,-10.321,-39.356,579.544286,0.062548,-0.008578,-0.00817
47:00.0,-6.568,-39.868,579.140617,0.062565,-0.008495,-0.005266
48:00.0,-2.814,-40.376,578.914127,0.062575,-0.008449,-0.002272
49:00.0,0.941,-40.883,578.868722,0.062577,-0.00844,0.000761
50:00.0,4.695,-41.39,579.005186,0.062571,-0.008467,0.003781
51:00.0,8.449,-41.899,579.321165,0.062557,-0.008532,0.006736
52:00.0,12.202,-42.414,579.811209,0.062536,-0.008636,0.009575
53:00.0,15.953,-42.937,580.466874,0.062507,-0.008783,0.012249
54:00.0,19.703,-43.469,581.276868,0.062471,-0.008978,0.014712
55:00.0,23.45,-44.015,582.227252,0.062428,-0.009231,0.016922
56:00.0,27.194,-44.578,583.301692,0.062378,-0.00955,0.018841
57:00.0,30.935,-45.163,584.481744,0.062322,-0.00995,0.020437
58:00.0,34.673,-45.774,585.747181,0.06226,-0.010452,0.021684
59:00.0,38.406,-46.42,587.076344,0.06219,-0.011084,0.022559
00:00.0,42.135,-47.108,588.446521,0.062114,-0.011883,0.023049
01:00.0,45.86,-47.85,589.834338,0.062029,-0.012908,0.023146
02:00.0,49.579,-48.663,591.216161,0.061934,-0.01424,0.022849
03:00.0,53.291,-49.568,592.5685,0.061825,-0.016009,0.022165
04:00.0,56.997,-50.597,593.868402,0.061697,-0.018416,0.021104
05:00.0,60.694,-51.797,595.093844,0.061537,-0.021797,0.019686
06:00.0,64.381,-53.243,596.224096,0.061327,-0.026741,0.017936
07:00.0,68.052,-55.058,597.240064,0.061028,-0.034356,0.015882
08:00.0,71.701,-57.463,598.12461,0.060562,-0.046921,0.013561
09:00.0,75.312,-60.888,598.86283,0.059738,-0.069696,0.011012
10:00.0,78.852,-66.297,599.442297,0.058032,-0.116822,0.008277
11:00.0,82.225,-76.244,599.853265,0.053591,-0.234173,0.005403
12:00.0,85.075,-98.781,600.088827,0.037892,-0.57519,0.002438
13:00.0,86.042,-147.045,600.145024,-0.010957,-0.887752,-0.000568
14:00.0,84.112,174.233,600.020912,-0.04643,-0.404188,-0.003564
15:00.0,80.985,158.077,599.718577,-0.055848,-0.175631,-0.0065
16:00.0,77.53,150.344,599.243099,-0.058844,-0.09449,-0.009327
17:00.0,73.956,145.858,598.602471,-0.060111,-0.059331,-0.011997
18:00.0,70.328,142.891,597.807473,-0.060766,-0.041369,-0.014465
19:00.0,66.67,140.744,596.871489,-0.061155,-0.031064,-0.01669
20:00.0,62.992,139.087,595.810299,-0.061414,-0.024639,-0.018633
21:00.0,59.301,137.745,594.641812,-0.061602,-0.020378,-0.020261
22:00.0,55.601,136.616,593.385778,-0.061748,-0.017416,-0.021547
23:00.0,51.892,135.638,592.063456,-0.061868,-0.01528,-0.022468
24:00.0,48.177,134.771,590.697265,-0.061971,-0.013695,-0.023007
25:00.0,44.456,133.987,589.310406,-0.062062,-0.01249,-0.023156
26:00.0,40.73,133.267,587.926471,-0.062143,-0.011559,-0.02291
27:00.0,36.999,132.596,586.569043,-0.062217,-0.010828,-0.022273
28:00.0,33.264,131.965,585.261292,-0.062284,-0.01025,-0.021256
29:00.0,29.525,131.364,584.02558,-0.062344,-0.009789,-0.019875
30:00.0,25.782,130.788,582.883068,-0.062398,-0.009421,-0.018154
31:00.0,22.037,130.232,581.853351,-0.062445,-0.009128,-0.016121
32:00.0,18.289,129.691,580.954115,-0.062486,-0.008898,-0.013811
33:00.0,14.539,129.163,580.200821,-0.062519,-0.008722,-0.011263
34:00.0,10.787,128.644,579.606437,-0.062545,-0.008591,-0.008521
35:00.0,7.034,128.131,579.181201,-0.062563,-0.008503,-0.005633
36:00.0,3.28,127.623,578.932445,-0.062574,-0.008453,-0.002647
37:00.0,-0.475,127.116,578.864458,-0.062577,-0.008439,0.000384
38:00.0,-4.229,126.609,578.978413,-0.062572,-0.008462,0.003409
39:00.0,-7.983,126.1,579.272345,-0.062559,-0.008521,0.006375
40:00.0,-11.736,125.586,579.741185,-0.062539,-0.00862,0.009231
41:00.0,-15.488,125.065,580.376851,-0.062511,-0.008762,0.011928
42:00.0,-19.238,124.534,581.168396,-0.062476,-0.008951,0.014419
43:00.0,-22.985,123.989,582.102197,-0.062434,-0.009196,0.016663
44:00.0,-26.73,123.429,583.162202,-0.062385,-0.009506,0.01862
45:00.0,-30.471,122.847,584.330213,-0.06233,-0.009896,0.020258
46:00.0,-34.209,122.239,585.586204,-0.062268,-0.010384,0.021549
47:00.0,-37.943,121.599,586.908675,-0.062199,-0.010997,0.022471
48:00.0,-41.673,120.916,588.275022,-0.062124,-0.011773,0.023009
49:00.0,-45.398,120.182,589.661933,-0.06204,-0.012766,0.023155
50:00.0,-49.117,119.379,591.045784,-0.061946,-0.014054,0.022907
51:00.0,-52.831,118.487,592.403044,-0.06184,-0.01576,0.02227
52:00.0,-56.538,117.475,593.710674,-0.061714,-0.018073,0.021256
53:00.0,-60.236,116.3,594.946515,-0.061559,-0.021308,0.019881
54:00.0,-63.924,114.889,596.089655,-0.061357,-0.026012,0.01817
55:00.0,-67.597,113.129,597.120782,-0.061072,-0.033206,0.016152
56:00.0,-71.25,110.815,598.022498,-0.060633,-0.044961,0.013862
57:00.0,-74.867,107.553,598.779607,-0.059871,-0.065983,0.011339
58:00.0,-78.419,102.478,599.379364,-0.05833,-0.108659,0.008625
59:00.0,-81.822,93.352,599.81168,-0.054448,-0.212238,0.005766
00:00.0,-84.78,73.202,600.069288,-0.04122,-0.512651,0.002809
01:00.0,-86.098,27.61,600.14786,0.003798,-0.912853,-0.000194
02:00.0,-84.45,-14.639,600.046076,0.044108,-0.454111,-0.003194
03:00.0,-81.398,-32.618,599.765646,0.055212,-0.19237,-0.006141
04:00.0,-77.967,-40.992,599.311281,0.058606,-0.101064,-0.008984
05:00.0,-74.404,-45.753,598.69062,0.059999,-0.062452,-0.011676
06:00.0,-70.78,-48.859,597.914105,0.060703,-0.043067,-0.014172
07:00.0,-67.125,-51.085,596.994808,0.061116,-0.032082,-0.016429
08:00.0,-63.449,-52.791,595.948225,0.061387,-0.025294,-0.018408
09:00.0,-59.76,-54.166,594.792016,0.061581,-0.020823,-0.020077
10:00.0,-56.06,-55.317,593.54572,0.061731,-0.017731,-0.021407
11:00.0,-52.353,-56.311,592.230427,0.061854,-0.015511,-0.022374
12:00.0,-48.638,-57.19,590.868432,0.061959,-0.013868,-0.022961
