"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
17 Jan 2025 14:36:56.014,0.000,0.437510,-153.635,-139.359436,20.000000,94.964457,19.200,52.1314,55.1417,1.000000e-30
17 Jan 2025 14:37:28.109,0.000,0.437510,-152.870,-138.594531,20.000000,95.729362,19.200,52.8964,55.9067,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
18 Jan 2025 14:18:07.456,0.000,0.437510,-153.634,-139.358891,20.000000,94.965002,19.200,52.1320,55.1423,1.000000e-30
18 Jan 2025 14:18:33.895,0.000,0.437510,-152.991,-138.715602,20.000000,95.608291,19.200,52.7753,55.7856,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
19 Jan 2025 13:59:23.538,0.000,0.437510,-153.633,-139.357619,20.000000,94.966274,19.200,52.1333,55.1436,1.000000e-30
19 Jan 2025 13:59:39.682,0.000,0.437510,-153.245,-138.970077,20.000000,95.353816,19.200,52.5208,55.5311,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
19 Jan 2025 15:34:08.476,0.000,0.437508,-153.633,-139.357598,20.000000,94.966295,19.200,52.1333,55.1436,1.000000e-30
19 Jan 2025 15:34:24.067,0.000,0.437507,-153.361,-139.085595,20.000000,95.238298,19.200,52.4053,55.4156,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
20 Jan 2025 13:40:44.531,0.000,0.437510,-153.631,-139.355906,20.000000,94.967987,19.200,52.1350,55.1453,1.000000e-30
20 Jan 2025 13:40:45.464,0.000,0.437510,-153.610,-139.334506,20.000000,94.989388,19.200,52.1564,55.1667,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
20 Jan 2025 15:15:01.826,0.000,0.437509,-153.634,-139.358980,20.000000,94.964913,19.200,52.1319,55.1422,1.000000e-30
20 Jan 2025 15:15:29.853,0.000,0.437509,-153.065,-138.789924,20.000000,95.533970,19.200,52.7010,55.7113,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
21 Jan 2025 14:56:02.737,0.000,0.437510,-153.635,-139.359520,20.000000,94.964373,19.200,52.1314,55.1417,1.000000e-30
21 Jan 2025 14:56:35.639,0.000,0.437509,-152.896,-138.620455,20.000000,95.703438,19.200,52.8704,55.8807,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
22 Jan 2025 14:37:09.295,0.000,0.437510,-153.635,-139.359440,20.000000,94.964453,19.200,52.1314,55.1417,1.000000e-30
22 Jan 2025 14:37:41.425,0.000,0.437510,-152.869,-138.594051,20.000000,95.729842,19.200,52.8968,55.9071,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
